doc_id,title,source,year,topic,publication_url,pdf_url
who_catheter_bsi_part2_2026,"Guidelines for the prevention of bloodstream infections and other infections associated with the use of intravascular catheters: part 2: central venous catheters",WHO,2026,infection prevention,https://www.who.int/publications/who-guidelines,https://iris.who.int/server/api/core/bitstreams/f750f24d-c0c2-425c-85fd-ec310d2ce994/content
who_cervical_precancer_hpv_2026,"WHO guideline for screening and treatment of cervical pre-cancer lesions for cervical cancer prevention: use of human papillomavirus (HPV) DNA genotyping",WHO,2026,cervical cancer,https://www.who.int/publications/who-guidelines,https://iris.who.int/server/api/core/bitstreams/32214b73-0e95-4243-9e83-617948510dcd/content
who_school_food_env_2026,"Policies and interventions to create healthy school food environments: WHO guideline",WHO,2026,nutrition,https://www.who.int/publications/who-guidelines,https://iris.who.int/server/api/core/bitstreams/6989e26c-c181-4ec8-bb99-104415a2e142/content
who_advanced_hiv_2025,"WHO guidelines on the management of advanced HIV disease",WHO,2025,HIV,https://www.who.int/publications/who-guidelines,https://iris.who.int/server/api/core/bitstreams/68dfe26f-ad54-4f60-b92f-b943b1a0d82c/content
who_infertility_2025,"Guideline for the prevention, diagnosis and treatment of infertility",WHO,2025,infertility,https://www.who.int/publications/who-guidelines,https://iris.who.int/server/api/core/bitstreams/0b4b00be-9412-4d73-a3a9-1fb00874fdb6/content
who_contraceptive_spr_2025,"Selected practice recommendations for contraceptive use, 4th ed.",WHO,2025,contraception,https://www.who.int/publications/who-guidelines,https://iris.who.int/server/api/core/bitstreams/582c8182-f4b1-406b-b5e7-d81c1870df93/content
who_contraceptive_mec_2025,"Medical eligibility criteria for contraceptive use, 6th ed.",WHO,2025,contraception,https://www.who.int/publications/who-guidelines,https://iris.who.int/server/api/core/bitstreams/9f048e30-0d14-4187-b167-9c24b9102092/content
who_hiv_service_delivery_2025,"WHO guideline on HIV service delivery",WHO,2025,HIV service delivery,https://www.who.int/publications/who-guidelines,https://iris.who.int/server/api/core/bitstreams/f6e902a0-b37b-4340-8296-39d91f3321bb/content
who_ebola_marburg_ipc_2026,"Infection prevention and control guideline for Ebola and Marburg diseases",WHO,2026,infection prevention,https://www.who.int/publications/i?publishingoffices=c09761c0-ab8e-4cfa-9744-99509c4d306b,https://iris.who.int/server/api/core/bitstreams/018890fc-eb18-469d-b295-96ca77b99b34/content
who_andes_virus_testing_2026,"Laboratory testing of Andes virus (Orthohantavirus andesense) infection: interim guidance, 15 May 2026",WHO,2026,laboratory testing,https://www.who.int/publications/i?publishingoffices=c09761c0-ab8e-4cfa-9744-99509c4d306b,https://iris.who.int/server/api/core/bitstreams/53c4c4d5-1915-4fc2-912b-b74c78249a32/content
